Year,Crop,Area,Production,Yield
1984/85,OILSEED,127820,84030,657
1985/86,OILSEED,137920,78390,568
1986/87,OILSEED,142890,82500,577
1987/88,OILSEED,151490,94370,623
1988/89,OILSEED,154860,99190,641
1989/90,OILSEED,153660,98060,638
1990/91,OILSEED,156310,92140,589
1991/92,OILSEED,154570,87840,568
1992/93,OILSEED,165240,93690,567
1993/94,OILSEED,177486,107535,606
1994/95,OILSEED,184460,116300,630
1995/96,OILSEED,185000,115990,627
1996/97,OILSEED,182110,119250,655
1997/98,OILSEED,179216,110226,615
1998/99,OILSEED,190429,119731,629
1999/2000,OILSEED,189629,122751,647
2000/2001,OILSEED,188455,132331,702
2001/2002,OILSEED,187820,134950,719
2002/2003,OILSEED,186720,124931,669
2003/2004,OILSEED,186741,132865,711
2004/2005,OILSEED,187823,141989,756
1984/85,POTATO,65540,420160,6411
1985/86,POTATO,69960,356720,5099
1986/87,POTATO,74310,395110,5317
1987/88,POTATO,80180,566950,7071
1988/89,POTATO,81570,640910,7857
1989/90,POTATO,83350,671810,8060
1990/91,POTATO,84280,738030,8757
1991/92,POTATO,85300,732860,8592
1992/93,POTATO,87020,733300,8427
1993/94,POTATO,89664,748913,8352
1994/95,POTATO,97634,838932,8593
1995/96,POTATO,106000,898350,8475
1996/97,POTATO,110850,997400,8998
1997/98,POTATO,116290,971680,8356
1998/99,POTATO,118043,1091218,9244
1999/2000,POTATO,122620,1182500,9644
2000/2001,POTATO,129019,1313717,10182
2001/2002,POTATO,135093,1472757,10902
2002/2003,POTATO,140171,1531315,10925
2003/2004,POTATO,143027,1643357,11490
2004/2005,POTATO,146789,1738840,11846
1984/85,TOBACCO,8550,6430,752
1985/86,TOBACCO,8680,4680,539
1986/87,TOBACCO,8820,4890,554
1987/88,TOBACCO,6470,4460,689
1988/89,TOBACCO,7300,5380,737
1989/90,TOBACCO,7610,6600,867
1990/91,TOBACCO,7290,6980,957
1991/92,TOBACCO,6520,6005,921
1992/93,TOBACCO,6660,6020,904
1993/94,TOBACCO,6742,6223,923
1994/95,TOBACCO,6028,5447,904
1995/96,TOBACCO,6130,5510,899
1996/97,TOBACCO,5670,4480,790
1997/98,TOBACCO,4871,3845,789
1998/99,TOBACCO,4422,3911,884
1999/2000,TOBACCO,4283,3809,889
2000/2001,TOBACCO,4226,3973,940
2001/2002,TOBACCO,3813,3763,987
2002/2003,TOBACCO,3597,3460,962
2003/2004,TOBACCO,3398,3310,974
2004/2005,TOBACCO,3003,3016,1004
1984/85,SUGARCANE,17480,17480,17480
1985/86,SUGARCANE,23010,558340,24265
1986/87,SUGARCANE,24910,616580,24752
1987/88,SUGARCANE,29520,814400,27588
1988/89,SUGARCANE,29550,903010,30559
1989/90,SUGARCANE,31500,988300,31375
1990/91,SUGARCANE,32960,1105960,33555
1991/92,SUGARCANE,37410,1291340,34519
1992/93,SUGARCANE,38330,1365870,35634
1993/94,SUGARCANE,37785,1293092,34222
1994/95,SUGARCANE,43583,1469214,33711
1995/96,SUGARCANE,44820,1568700,35000
1996/97,SUGARCANE,46360,1629300,35145
1997/98,SUGARCANE,48800,1762580,36118
1998/99,SUGARCANE,53894,1971646,36584
1999/2000,SUGARCANE,58126,2103426,36187
2000/2001,SUGARCANE,59422,2211781,37222
2001/2002,SUGARCANE,59477,2247990,37796
2002/2003,SUGARCANE,60425,2343054,38776
2003/2004,SUGARCANE,59425,2305326,38794
2004/2005,SUGARCANE,59082,2376103,40217
1984/85,JUTE,27200,33124,1218
1985/86,JUTE,47191,61102,1295
1986/87,JUTE,19840,23452,1182
1987/88,JUTE,14450,15800,1093
1988/89,JUTE,13554,17624,1300
1989/90,JUTE,13000,16000,1231
1990/91,JUTE,14000,16000,1143
1991/92,JUTE,15000,19000,1267
1992/93,JUTE,9000,10000,1111
1993/94,JUTE,9000,11000,1222
1994/95,JUTE,10150,11695,1152
1995/96,JUTE,11150,14950,1341
1996/97,JUTE,11000,14000,1273
1997/98,JUTE,12265,15545,1267
1998/99,JUTE,11675,15195,1301
1999/2000,JUTE,14535,15175,1044
2000/2001,JUTE,11289,16392,1452
2001/2002,JUTE,11000,16000,1455
2002/2003,JUTE,11851,17035,1437
2003/2004,JUTE,11790,16890,1433
2004/2005,JUTE,11159,16207,1452
